destination,budget,days,travel_with,group_size,stay,views_rating,nightlife_rating,food_rating,itinerary
Meghalaya ,5000,3,All Male,6,Homestay,5,5.0,3,Shillong-laitlum - pung iyer waterfall(garden of caves)-dawki
Aizawl,3000,3,Mixed-Gender,11,Hotels,5,1.0,3,"Day 1: Arrive Aizawl, visit Bara Bazar and Solomon's Temple. Day 2: Explore Durtlang Hills viewpoint and the Mizoram State Museum. Day 3: Visit Reiek Tlang for panoramic hill views before departure."
Haflong,3000,3,Mixed-Gender,14,Homestay,3,3.0,2,"Day 1: Arrive Haflong, walk around Haflong Lake and the local market. Day 2: Visit Jatinga village, known for its mysterious bird phenomenon, and nearby viewpoints. Day 3: Explore Panimoor waterfalls and surrounding hills before heading back."
Bhutan,2000,1,Mixed-Gender,10,nowhere,4,4.0,4,"Day 1: Cross into Bhutan for a day trip covering the border town's monasteries, markets and viewpoints before returning the same day."
"Shillong, laitlum, bamboo trek ",3500,2,All Female,7,Homestay,5,2.0,1,"Day 1: Arrive Shillong, evening at Laitlum Canyon for sunset views. Day 2: Bamboo trek through a nearby forest trail before departure."
Shillong,3000,2,All Male,6,Homestay,4,5.0,4,"Day 1: Arrive Shillong, visit Ward's Lake and Police Bazaar market. Day 2: Trip to Elephant Falls and Shillong Peak before heading back."
Meghalaya ,3000,2,All Male,11,Hotels,4,4.0,4,Shillong - kenatai valley - weiseidong falls - seven sisters
"Shillong,bhutan",5000,2,All Male,4,Hotels,4,5.0,2,Shillong and Meghalaya places
Darjeeling ,3500,2,Mixed-Gender,10,Hotels,4,2.0,2,"Day 1: Arrive Darjeeling, evening walk on Mall Road and Chowrasta. Day 2: Early sunrise view from Tiger Hill, ride the Darjeeling Himalayan toy train, and visit a tea garden before departure."
Meghalaya ,2500,3,All Male,5,Homestay,4,2.0,2,"Day 1: Arrive Shillong, sightseeing around Ward's Lake and Police Bazaar. Day 2: Day trip to Cherrapunji covering Nohkalikai Falls and Mawsmai Caves. Day 3: Visit Dawki for a boat ride on the crystal-clear Umngot river before returning."
Dima Hasao,4000,2,Mixed-Gender,6,Homestay,5,5.0,5,Extraordinary fantastic mind blowing.
"Shillong,  DawKi,  CheraPunjee ",3500,3,All Male,Six. ,Hotels,5,4.0,2,"Day 1: Arrive Shillong, explore Police Bazaar and Ward's Lake. Day 2: Visit Dawki for a boat ride on the Umngot river. Day 3: Drive to Cherrapunji to see Nohkalikai Falls and the Mawsmai limestone caves before heading back."
Shillong,2000,2,All Male,6,Homestay,4,3.0,3,"Day 1: Arrive Shillong, visit Umiam Lake en route and settle in. Day 2: Explore Elephant Falls and Shillong Peak before departure."
Meghalaya,5000,5,All Male,8,Homestay,4,3.0,3,"Day 1: Arrive Shillong, visit Police Bazaar and Ward's Lake. Day 2: Explore Cherrapunji's Nohkalikai and Seven Sisters Falls. Day 3: Trek to the Double Decker Living Root Bridge at Nongriat. Day 4: Visit Dawki for a river boat ride and Mawlynnong, Asia's cleanest village. Day 5: Relaxed morning at Laitlum Canyon before heading back."
"My village, Banghaghar Mandir, Shahid smarak, Science City, Zubeen Garg Da Memorial",600,1,Family,"Family, 4-6",Family or friends,5,4.0,4,"I mostly like to travel with family, not much interested or feel good enough to travel with friends."
"Shilong, Umiam lake, Dawki, living root bridge, cleanest village, Kangsuri",4300,3,Mixed-Gender,14-15,Tent stay,5,4.0,2,"Day 1: Arrive Shillong, visit Umiam Lake. Day 2: Drive to Dawki for a boat ride on the Umngot river, then visit the Living Root Bridge and Mawlynnong village. Day 3: Explore Kangsuri (Krang Suri) waterfall before returning."
Meghalaya,1000,2,All Male,4,Hotels,5,2.0,4,"Crazy exp.. zyaada likhne ka man nhi h.. par crazy.. must visit laitlum canyon.. mazaa aayega waha.. great view with greatest ppl
"
Garbhanga ,850,1,All Male,8,One day ,4,4.0,4,"We rented a scooty from the rentals , this place is some 30-40 km from iitg , so went there , now after reaching there u have to take that scooty uphill some 20km , that's the best part , great view , with friends chill vibes and after that ask some people Abt which way to go , and there are 1-2 amazing waterfalls in which u can have fun , there are some shops in between the way uphill where u can buy petrol food etc , and then u can come back "
Dzukou Valley ,5500,3,Mixed-Gender,7,Hostels,5,3.0,5,it was totally worth it
Gangtok and Darjeeling ,50000,9,Family,4,Hotels,4,5.0,4,"Day 1-2: Arrive Gangtok, acclimatize and explore MG Marg. Day 3: Day trip to Tsomgo Lake and Baba Mandir. Day 4: Visit Nathula Pass (permit permitting). Day 5: Explore Rumtek Monastery and local viewpoints. Day 6: Travel from Gangtok to Darjeeling. Day 7: Sunrise at Tiger Hill and ride the toy train. Day 8: Visit a tea garden and the Peace Pagoda. Day 9: Leisure morning on Mall Road before departure."
Shillong and bhutan,2500,1,Mixed-Gender,10,No,5,,4,"Day 1: Quick visit to Shillong's Police Bazaar and Ward's Lake, with a short stop near the Bhutan border area before heading back."
Shillong ,3200,2,All Male,8,Hostels,4,3.0,3,First day reach shillong and go to lightlum canyon and market for night next day go to famous places in shillong 
TAWANG,11000,5,Mixed-Gender,13,Hotels,4,1.0,2,Visit tawang bumla pass sela pass and other things
Mizoram ,6000,3,All Male,5 people ,Homestay,5,4.0,4,"Lalsavunga Park
sakawrhmuituai tlang
14 beans cafe
Heritage Village (Zokhua)
Solomon’s Temple
Reiki Tlang
Aizawl peak "
 

